,address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views,latitude,longitude
202,6/9 guilfoyle av Double Bay,30/12/2018,1 Bathroom,3 Bedrooms,22 hours ago,22 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/double-bay/flatshare-houseshare/master-bedroom/1201142135,Street,No,$350,No,"I have a master bedroom in a quiet street in Double Bay for rent.,Room is furnished with queen bed, floor to ceiling cupboards, natural light, very spacious.,You will be sharing with me and my daughter (13 year old) and a cat .,Appartement come with gas cooking new renovated bathroom .,Close to bus train station ferry .,This rental is for women only and is available at the end of December .,Long stay only .",Master bedroom,Flatshare,"yann vignes,Gummie since, ,2011","18, , views",-33.8767908,151.2417185
203,Maroubra NSW,02/12/2018,4 or more Bathrooms,6 or more Bedrooms,22 hours ago,22 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/maroubra/flatshare-houseshare/a-master-bedroom-available-in-the-heart-of-maroubra-junction/1201141001,Street,No,$340,No,"Hello,,A Big fully furnished Master Bedroom is available this 2nd December!! Located in the heart of maroubra junction.,It is 2minutes walk to bus stop (bus 400 to eastgarden,airport), 5mins walk to pacific sq (coles/aldi/banks/australia post/shops), and 5mins walk to bus stop (to city, central and railway square).,It is a two storey house with 7bedrooms and 4bathrooms. every room (brick wall) occupied by 1person, except the master bedroom which normally occupied by 2pp,,The price for 1person is $340/week,Price for 2pp is $375/week,We have a cleaner who comes every week to clean public area, kitchen, and bathroom.,The rent covers all bills.,You are going to live with 3indonesian, 1filipino, and a europian couple, they are very nice and respect each other, they spent most of their time in their bedroom. some of them are students from UNSW and the other are working people. We do not suffer any of the cliché shared house problems :),We do not live in the house, but sometimes if there is something which need to be fixed, we will go there and fix it.",A Master Bedroom available in the heart of Maroubra Junction,Houseshare,"Yunita,Gummie since, ,2012","10, , views",-33.9453441,151.2456824
204,Thornleigh,01/12/2018,1 Bathroom,3 Bedrooms,22 hours ago,2 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/pennant-hills/flatshare-houseshare/great-room-quiet-st-ff-all-bills-incl/1201142550,Street,No,$190,No,"3 fully furnished rooms available early December.,1 x HUGE room with Queen bed, desk, cupboards... $220 pw,1 x good size room, queen bed, chest of drawers, desk.... $210 pw,1 x medium size room. King single $190,ONLY a 5min walk to Thornleigh Station;,Close to all the amenities you need including Woolworth, ALDI, Bunnings, Mcdonalds, Cafes, number of Restaurants, Gym, etc.,Nice big back yard and decking area opening onto landscaped gardens.,Very close to North Connex Project, schools, Thornleigh & Pennant Hills market place.,2 weeks rent in advance & $600 bond,All bills included. FREE Wifi,Please call Matt to arrange to inspect,******8225","Great room, quiet st, ff, all bills incl",Houseshare,"Matt,4, ,ads,Gummie since, ,2014","11, , views",-33.7236616,151.0809407
205,"Bulwara Road, Pyrmont NSW",26/11/2018,2 Bathrooms,3 Bedrooms,22 hours ago,22 hours ago,Yes,Male,https://www.gumtree.com.au/s-ad/pyrmont/flatshare-houseshare/master-twin-shared-room-for-one-male-roommate/1201141483,None,No,$265,No,"MASTER TWIN SHARED ROOM FOR ONE MALE ROOMMATE,WANTED: ONE MALE in Master twin shared room,(Share room WITH only ONE other friendly male),DESCRIPTION: 3 bedrooms, 2 bathrooms, living room, fully equipped kitchen, dining area, laundry room,UNIT IS FULLY FURNISHED AND EQUIPPED: Modern Massive 50 inches TV, Fridges, Pots/Pans, Cutlery, Microwave, Toaster, Kettle, FRONT LOADER washing machine, unlimited FREE WI-FI,ROOM: Two single beds with bed linen, two bedside tables with lamps, built in wardrobes, 39” LCD TV and en-suite bathroom.,LOCATION: HARRIS STREET PYRMONT,6 minutes walking distance to Fish Market,7 minutes walking distance to Star Casino,15 minutes walking distance to Darling Harbour,Walking distance to most International Schools and Colleges,Nearest SUPERMARKET: COLES 5 minutes walking distance,NEAREST BUS STATION: Harris St At Allen St 1 minute walking distance,Bus Number: 501 (16 minutes) to USYD and (7 minutes) to UTS,NEAREST TRAIN STATION: Town Hall Train Station ~ 20 min walk,( 12 minutes to Bondi Junction, 23 minutes to Airport),HIGHLIGHTS:,- UNLIMITED FREE WI-FI,- FRIENDLY FLATMATES,- DATE AVAILABLE: Available ON NOVEMBER 26, 2018,- SECURITY- you will receive a LEGAL contract with well-established share house accommodation agency,- CLEANEST UNITS IN SYDNEY,- WITH GREAT FACILITIES ACCESS : Swimming Pool, Spa, Gym BBQ and Sauna,PLEASE NOTE: We prefer Minimum 4-month Agreement. *Shorter stay negotiable for a higher price and subject to the building by-laws,*2 weeks rent as a bond is required and 2 weeks rent in advance. And one off $55 booking fee applies *",MASTER TWIN SHARED ROOM FOR ONE MALE ROOMMATE,Flatshare,"ShareMyRoom,74, ,ads,Gummie since, ,2008","18, , views",-33.8708371,151.1934456
206,"Lindfield, NSW",16/11/2018,1 Bathroom,3 Bedrooms,22 hours ago,22 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/lindfield/flatshare-houseshare/lindfield-north-shore/1201142592,Off Street,No,$190,No,"Hi, Own bedroom available now for one female, furnished or unfurnished in house at Lindfield, Room over looks quite leafy tranquil garden, Close to shops, trains (5min walk) Chatswood & National Park. Clean & tidy, Non-smoker only,Reply with your details thanks",Lindfield North Shore,Houseshare,"gumtree,Gummie since, ,2014","11, , views",-33.7802907,151.1595848
207,"Auburn, NSW",16/11/2018,1 Bathroom,1 Bedroom,22 hours ago,22 hours ago,Yes,Male,https://www.gumtree.com.au/s-ad/auburn/flatshare-houseshare/auburn-room-available/1201142719,Street,No,$140,Yes,A room in auburn is available where all the basic facilities are available with just 5min to the train station. Contact me ASAP!,auburn room available,Houseshare,"Abdul Abed,Gummie since, ,2018","27, , views",-33.849302,151.0328106
208,"5 Knox Street, Chippendale NSW",19/11/2018,2 Bathrooms,4 Bedrooms,22 hours ago,22 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/chippendale/flatshare-houseshare/broadway-opposite-sydney-university-furnished-single-bedroom/1201145079,Off Street,No,$290,No,"Broadway Opposite Sydney University Furnished Single Bedroom,Looking for a clean, Male student or employed, reliable person to share a apartment in Broadway - Chippendale.,Fully Furnished Room for single person $290/pw, Available 19.11.2018,• Share this home with post-graduate students,• Room has single bed, desk, bookcase, chair & wardrobe,• Combined lounge and dining that flows onto balcony,,• Share Lovely spacious kitchen and laundry, 2 fridges microwave and full cooking utensils,• Share modern bathroom,• 2 mins walk to Sydney University, UTS, Broadway Shopping Centre and Bus Stops .8 min walk to Central Train Station & Chinatown,• Lots of parking,• $290.00 per week includes all bills and super fast internet connection,• 2 Week bond 2 weeks rent in advance,• Prefer non smoking,• For more details call Peiren O410 085 848",Broadway Opposite Sydney University Furnished Single Bedroom,Flatshare,"Peiren,9, ,ads,Gummie since, ,2013","5, , views",-33.8849352,151.19515
209,Nicholson Prd,16/11/2018,2 Bathrooms,4 Bedrooms,22 hours ago,22 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/spring-farm/flatshare-houseshare/room-for-rent/1201145138,Street,No,$250,Yes,"For rent is the master bedroom in a clean and modern home. The room is fully furnished, with queen bed, plenty of stylish draw space, and three door built in.,Master bedroom also comes with en-suite, so not haveing to share.,It is a share house with three others, easy going and sociable people. We are looking for a sociable, clean and tidy person.,The house is located in Spring Farm and is close to everything. Hit me up if you would like to view room. Smoking outside only",Room For Rent,Houseshare,"Anthony,Gummie since, ,2015","12, , views",none,none
210,"Miller Street, Pyrmont NSW",12/11/2018,2 Bathrooms,2 Bedrooms,22 hours ago,22 hours ago,Yes,Male,https://www.gumtree.com.au/s-ad/pyrmont/flatshare-houseshare/master-twin-shared-room-in-miller-pyrmont/1201142769,None,No,$275,No,"MASTER TWIN SHARED ROOM IN MILLER PYRMONT,WANTED: ONE MALE in Master twin shared room,(Share room WITH only ONE other friendly male),PRICE:$275 PER WEEK PER PERSON,DESCRIPTION: 2 bedrooms, 2 bathrooms, living room, fully equipped kitchen, dining area, laundry room.,UNIT IS FULLY FURNISHED AND EQUIPPED: Modern Massive 50TV, Fridge, Pots/Pans, Cutlery, Microwave, Toaster, Kettle, FRONT LOADER washing machine, unlimited FREE WI-FI,ROOM: Two single beds with bed linen, two bedside tables with lamps, built in wardrobes, 39” inches LCD TV and en-suite bathroom.,LOCATION: MILLER STREET PYRMONT,7 minutes walking distance to Fish Market,8 minutes walking distance to Pyrmont Bay Park,11 minutes walking distance to Casino Wharf,13 minutes walking distance to Darling Harbour,Walking distance to most International Schools and Colleges,Nearest SUPERMARKET: COLES 5 minutes walking distance,NEAREST BUS STATION: Miller St At Jones St 1 minute walking distance,Bus Number 501 (18 minutes) to USYD and 501 (11 minutes) to UTS,NEAREST TRAIN STATION: Town Hall Train Station ~ 20 min walk,( 12 minutes to Bondi Junction, 23 minutes to Airport),HIGHLIGHTS:,- UNLIMITED FREE WI-FI,- FRIENDLY FLATMATES,- DATE AVAILABLE: Available NOW!!,- SECURITY- you will receive a LEGAL contract with well-established share house accommodation agency,- CLEANEST UNITS IN SYDNEY,- WITH GREAT FACILITIES ACCESS: Swimming Pool, Spa, Gym BBQ and Sauna,PLEASE NOTE: We prefer Minimum 4-month Agreement. *Shorter stay negotiable for a higher price and subject to the building by-laws *,*2 weeks rent as a bond is required and 2 weeks rent in advance. And one off $55 booking fee applies **,Please provide Australian mobile number so we can contact you for an inspection.",MASTER TWIN SHARED ROOM IN MILLER PYRMONT,Flatshare,"ShareMyRoom,74, ,ads,Gummie since, ,2008","13, , views",-33.8707118,151.1914901
211,Parramatta NSW,16/11/2018,1 Bathroom,2 Bedrooms,22 hours ago,22 hours ago,Yes,Female,https://www.gumtree.com.au/s-ad/parramatta/flatshare-houseshare/single-room-for-indian-in-parramatta/1201145477,None,No,$180,No,"3 mins walk from Westfield in Parramatta.,Fully Furnished. New Carpet. New Kitchen.,Unlimited Internet.,We are a Indian Bengali couple. We are Non-Veg.,Looking for a single Indian (Hindu) to rent out one of our room.,Contact: ******5166",Single Room for Indian in Parramatta,Houseshare,"Indian in Sydney,Gummie since, ,2018","41, , views",-33.80698555,151.021291969
212,"Byer Street, Enfield NSW",17/11/2018,3 Bathrooms,3 Bedrooms,22 hours ago,22 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/enfield/flatshare-houseshare/strathfield-area-furnished-double-bedroom-for-single-person/1201145509,Off Street,No,$260,No,"Strathfield AREA FURNISHED DOUBLE BEDROOM for SINGLE PERSON,Available Now $260,MODERN FULLY FURNISHED BEDROOM, OWN BATHROOM AND PARKING,Private home in Strathfield – Burwood - Enfield area.,We are seeking one clean, quiet responsible male or female to share our home with us. We are a professional couple and are looking for a compatible longer term tenant.,Our home is close to shops, busses, Post Office, with quick access to Strathfield & Burwood Railway stations. Enfield swimming pool and Henley Park are within easy walking distance,,The upstairs bedroom room is quiet, secure, nicely furnished, bright, comfortable and clean. It has a double bed, bedside cabinet, desk, shelving, large mirrored built-in wardrobe, timber flooring etc.,The adjoining modern bathroom is for your exclusive use, while kitchen and laundry would be shared with us.,Rent is $260 per week which includes electricity, gas & Wi – Fi,Require 2 weeks bond and 2 weeks rent in advance.,For more details please call Peiren O410 085 848",Strathfield AREA FURNISHED DOUBLE BEDROOM for SINGLE PERSON,Townhouse Share,"Peiren,9, ,ads,Gummie since, ,2013","7, , views",-33.8874432,151.0929302
213,"Katoomba, NSW",01/12/2018,,,22 hours ago,22 hours ago,Yes,,https://www.gumtree.com.au/s-ad/katoomba/flatshare-houseshare/room-to-rent-in-shared-house/1201145798,,,$140,No,Room to rent for $140pw in spacious furnished house with 3 others. Not a pary house. Its a tidy and chilled house hold. Share bills. Mature person welcome. Room is available 1st December. Can be available sooner if required,Room to rent in shared house,Houseshare,"Helen,Gummie since, ,2011","18, , views",-33.713759,150.3121633
214,"Blacktown, NSW",18/11/2018,3 Bathrooms,6 or more Bedrooms,22 hours ago,22 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/blacktown/flatshare-houseshare/big-room-for-rent-bills-included-at-ida-pl-blacktown/1201146053,Street,No,$165,No,"Modern and big room in 2 stories, 7 bedrooms. Located in one of the best streets in Eastern Blacktown. Close to everywhere. About 15 min walking to Blacktown station (1.4 km) and Westpoint. 2 min walking to bus stop: (756, Lancaster St - No. 8 (After Kildare Rd), and (725, Kildare Rd Near Walters). Close M4, M7 and A44.,We are looking for a tidy, trustworthy, paying rent on time and responsible person.,Drug person is not accepted!,$170/w for single (big bedroom, 13m2, queen size bed), only 1 bedroom is available now.,$165/w for single (big bedroom, 13m2, single size bed), available now.,2 weeks rent in advance plus 4 weeks as bond. Lease is minimum 6 months.,All bills NBN WIFI Internet included.,Drug person is not allowed!,Please message or call me to arrange ******** 663 for the inspection if you are interested.",Big Room for Rent (bills included) at Ida Pl Blacktown,Houseshare,"Denis,Gummie since, ,2013","23, , views",-33.7401885,150.864835533
